id,created_time,location,no_comments,no_likes,filter,link,caption,thumbnail,tags,user_name,user_id
1492219966551605700_3866880759,2017-04-13 20:01:43,,3,59,Normal,https://www.instagram.com/p/BS1bidJDcHE/,"Type ""YES"" on Ecosphere.plus if you support sustainable food sources.",,"ecofriendly, cleanenergy, plantpower, environmentalist, global, saveourplanet, mothernaturerocks, conservation, savetheworld, environmental, solarpower, everydayclimatechange, pollution, savetheplanet, ecotourism, environment, climatechange, arctic, climate, renewableenergy, preservation, globalwarming, warming, endangered, renewable, eco, sustainableliving, environmentallyfriendly, motherearth",ecosphere.plus,3866880759
1492213476822434569_23698195,2017-04-13 19:48:50,,1,38,Normal,https://www.instagram.com/p/BS1aEBHDUMJ/,"Evening, another post from @carlbigmore here and another from my recent/ongoing project 'There It Is. Take It.' This series is a look at California's relationship with water and future climate migration. You can see more from this series on my website or over @instituteartist site. #metroimaging #metroprint #california #pnw #pdx #westcoast #everydayusa #everydayclimatechange #filmsnotdead #documentaryphotography #mediumformat #6x6 #rolleiflex #kodakportra #broadmag #fisheyelemag #rentalmag #everydayeverywhere #westcoastbestcoast #californiadrought #analog #environmentalportrait #portland #istillshootfilm_official #thefilmcommunity #pacificnorthwest #analogphotography #oregon",,"westcoast, portland, broadmag, everydayusa, istillshootfilm_official, 6x6, metroimaging, oregon, pnw, mediumformat, rentalmag, everydayclimatechange, kodakportra, rolleiflex, californiadrought, filmsnotdead, westcoastbestcoast, metroprint, pdx, california, analogphotography, analog, thefilmcommunity, documentaryphotography, environmentalportrait, everydayeverywhere, pacificnorthwest, fisheyelemag",metroimaging,23698195
1492184513425925236_962642312,2017-04-13 18:51:17,,2,422,Normal,https://www.instagram.com/p/BS1Tei2F2R0/,Bazar in #kurdistan #bukan #hikaricreative #sociallensmag,,"kurdistan, sociallensmag, lensculture, instagram, bukan, iran, hikaricreative, roozdaily, everydayiran, everydayclimatechange, middleeast, lenspersia, blackandwhitephotography, reportagespotlight, outofthephone, akasimagazine, streetphotographers, aksiine",mkhezriyani,962642312
1492088539025617953_23698195,2017-04-13 15:40:36,,3,63,Normal,https://www.instagram.com/p/BS09p7uDbQh/,"Hello, @carlbigmore here again. Sharing an image from a project I started last year entitled 'There It Is. Take It.' The work explores the history of California's relationship with water and the impact on the states current climate. This is an image of Los Angeles as seen from Mulholland Drive. The road was named after William Mulholland, the engineer responsible for bringing water into the city via the Los Angeles Aqueduct. #metroimaging #metroprint #losangeles #mulhollanddrive #everydayclimatechange #filmsnotdead #mediumformat #hasselblad #california #californiadrought #waterwars #westcoast #everydayusa #thefilmcommunity #istillshootfilm_official #rentalmag #fisheyelemag #broadmag #lynchian #documentaryphotography #landscape #cityscape #metropolis #hollywood #laurelcanyon #nightphotography #urbanglow",,"westcoast, waterwars, broadmag, everydayusa, istillshootfilm_official, mulhollanddrive, metroimaging, hollywood, mediumformat, rentalmag, everydayclimatechange, cityscape, metropolis, losangeles, californiadrought, filmsnotdead, hasselblad, lynchian, metroprint, landscape, california, thefilmcommunity, documentaryphotography, urbanglow, laurelcanyon, fisheyelemag, nightphotography",metroimaging,23698195
1492004341384885744_1735309468,2017-04-13 12:53:19,,6,315,Normal,https://www.instagram.com/p/BS0qgsjljXw/,"Feb 2007, Khuzestan, Iran. #one_shot_ #gettyreportage #iran #photojournalism #documentary #kaahcollective #monoart #climatechange #reportagespotlight #earth #streetphotography #lensculture #uncoveriran #everydayclimatechange #everydaykhouzestan #contactlens #sky #mahzenphotos #picoftheday #instablackandwhite #LCExposure #myfeatureshoot #nikon_dslr_users #faces_of_streets #agriculture #خوزستان #کشاورزی",,"kaahcollective, agriculture, lensculture, photojournalism, monoart, iran, instablackandwhite, earth, everydayclimatechange, myfeatureshoot, everydaykhouzestan, nikon_dslr_users, کشاورزی, one_shot_, climatechange, uncoveriran, contactlens, faces_of_streets, reportagespotlight, خوزستان, documentary, lcexposure, picoftheday, streetphotography, gettyreportage, sky, mahzenphotos",javid.tafazoli,1735309468
1491999948806629268_1583051292,2017-04-13 12:44:35,,1,556,Normal,https://www.instagram.com/p/BS0pgxphSeU/,"Happy to see my Ganges project published on @natgeo . Ganges river, considered sacred by more than 1 billion Indians, has become the first non-human entity in India to be granted the same legal rights as people. A court in the northern Indian state of Uttarakhand ordered on Monday that the Ganges and its main tributary, the Yamuna, be accorded the status of living human entities."" Photo: @giuliodisturco #everydayindia #india #ganges #water #climatechange #everydayclimatechange #river #asia http://goo.gl/xjWy1B",,"climatechange, ganges, river, everydayindia, water, everydayclimatechange, asia, india",everydayindia,1583051292
1491988280168811982_264026826,2017-04-13 12:21:24,,2,154,Normal,https://www.instagram.com/p/BS0m2-Ygg3O/,"Happy to see my Ganges project published on @natgeo . Ganges river, considered sacred by more than 1 billion Indians, has become the first non-human entity in India to be granted the same legal rights as people. A court in the northern Indian state of Uttarakhand ordered on Monday that the Ganges and its main tributary, the Yamuna, be accorded the status of living human entities."" #documentary #everydayindia #india #ganges #water #climatechange #everydayclimatechange #river #asia http://goo.gl/xjWy1B",,"climatechange, ganges, river, documentary, everydayindia, water, everydayclimatechange, asia, india",giuliodisturco,264026826
1491783322072787850_203048628,2017-04-13 05:34:11,"3.15, 101.767",0,109,Normal,https://www.instagram.com/p/BSz4QcSACuK/,#saveourearth #saveourforest #everydayclimatechange #flood #globalwarming,,"flood, everydayclimatechange, saveourforest, saveourearth, globalwarming",mukhrizhazim,203048628
1491683570879426363_4176193073,2017-04-13 02:16:00,"3.25, 19.766666666667",0,22,Normal,https://www.instagram.com/p/BSzhk3vje87/,"Dr. Wayne Walker uses a handheld GPS to mark a plot of deforested land in the northern DR Congo. WHRC scientists use satellite data 📡 to monitor forests around the world 🌎, but field visits help to verify data accuracy and explore contextual causes of deforestation 🌳. 📸 by Eva McNamara ––––––––––––––––———— #reforestation #rainforest #deforestation #DRC #RDC #congobasin #climatechange #everydayclimatechange #actonclimate",,"congobasin, rainforest, drc, climatechange, deforestation, everydayclimatechange, actonclimate, rdc, reforestation",woodsholeresearchcenter,4176193073
1491646079262751490_3866880759,2017-04-13 01:01:31,,2,113,Normal,https://www.instagram.com/p/BSzZDS9D3sC/,"Post ""YES"" on Ecosphere.plus if you have ever hiked to a waterfall.🌳😍",,"ecofriendly, cleanenergy, plantpower, environmentalist, global, saveourplanet, mothernaturerocks, conservation, savetheworld, environmental, solarpower, everydayclimatechange, pollution, savetheplanet, ecotourism, environment, climatechange, arctic, climate, renewableenergy, preservation, globalwarming, warming, endangered, renewable, eco, sustainableliving, environmentallyfriendly, motherearth",ecosphere.plus,3866880759
1491574553066055523_1551153805,2017-04-12 22:39:24,,6,104,Normal,https://www.instagram.com/p/BSzIyc_g6dj/,Strange people and reflections of places not saints. | Gente extraña y reflejos de lugares no santos. Photo: CHRISTIAN ESCOBARMORA @ESCOBARMORA ● #everydaymacondo #everydaylatinamerica #everydayeverywhere #everydayclimatechange - #Bogotá #Colombia #latinamerica #mobilephotography - #igers #igerscolombia #igersamerica #igers_all_americas #ig_latinoamerica_ #one__shot__ instagram #ESCOBARMORA,,"igers_all_americas, escobarmora, igerscolombia, latinamerica, everydaylatinamerica, mobilephotography, bogotá, everydaymacondo, ig_latinoamerica_, everydayeverywhere, everydayclimatechange, colombia, one__shot__, igers, igersamerica",escobarmora,1551153805
1491555561871024872_2245800109,2017-04-12 22:01:40,"60.9445, -164.644",4,71,Normal,https://www.instagram.com/p/BSzEeGEFKLo/,"My most recent screenprint from my current series ""Seen and Unseen"" about the disappearing landscapes of our world.",,"alaska, seenandunseen, landscape, newtok, screenprinting, globalwarming, everydayclimatechange, actonclimate, artofinstagram",jenniferacronin,2245800109
1491495737371777801_3866880759,2017-04-12 20:02:48,,4,112,Normal,https://www.instagram.com/p/BSy23iKDdsJ/,Post 🌍 to Ecosphere.plus if you weep for both disaster and recovery. 😍 The pain of the disaster and the beauty of the recovery. ❤️,,"ecofriendly, cleanenergy, plantpower, environmentalist, global, saveourplanet, mothernaturerocks, conservation, savetheworld, environmental, solarpower, everydayclimatechange, pollution, savetheplanet, ecotourism, environment, climatechange, arctic, climate, renewableenergy, preservation, globalwarming, warming, endangered, renewable, eco, sustainableliving, environmentallyfriendly, motherearth",ecosphere.plus,3866880759
1491455122466634498_351925443,2017-04-12 18:42:07,"-9.1166666666667, -77.6",4,163,Normal,https://www.instagram.com/p/BSytoglD3sC/,"Cordillera Blanca, Peru. 3/3. Sadly, though, this magnificent mountain range may not be ""blanca"" for very long. Peru is home to 70% of the world's tropical glaciers but 40% of their surface area has disappeared since the 1970s. Scientists predict that at the current level of climate change these glaciers could vanish completely within 20 years. #fujifilmx_us #xt1 #peru #cordillerablanca #letsgosomewhere #exploretocreate #REI1440Project #southamerica #visitsouthamerica #everydayclimatechange",,"letsgosomewhere, exploretocreate, fujifilmx_us, xt1, everydayclimatechange, southamerica, rei1440project, visitsouthamerica, peru, cordillerablanca",bernardosalce,351925443
1491447825434560193_23698195,2017-04-12 18:27:37,,5,98,Normal,https://www.instagram.com/p/BSyr-UsDkbB/,"Haze from a forest fire drifts across the pines, a thin layer of dust clings to everything it touches, Route 26, Oregon. This is another image from my (@carlbigmore) project 'Between Two Mysteries'. As promised before, lots of trees. #metroimaging #metroprint #documentaryphotography #documentary #westcoastlife #westcoastbestcoast #forest #forestfire #mounthoodnationalforest #oregon #wilderness #intothewild #analog #analogphotography #filmsnotdead #printsnotdead #kodakportra #rolleiflex #mediumformat #landscape #everydayclimatechange #everydayusa #everydayeverywhere #landscapephotography #liveoutdoors #landscapelovers #thegreatoutdoors #outdoorprojext #pacificnorthwest #pnw",,"forestfire, thegreatoutdoors, everydayusa, metroimaging, oregon, pnw, mediumformat, everydayclimatechange, kodakportra, rolleiflex, printsnotdead, landscapephotography, westcoastlife, filmsnotdead, westcoastbestcoast, metroprint, mounthoodnationalforest, landscape, documentary, analogphotography, forest, analog, landscapelovers, documentaryphotography, intothewild, liveoutdoors, outdoorprojext, everydayeverywhere, wilderness, pacificnorthwest",metroimaging,23698195
