source,target,weight
0,1,18
0,2,18
0,3,20
0,4,18
0,5,18
0,6,18
0,7,20
0,8,18
0,9,20
0,10,18
0,11,38
0,12,18
0,13,18
0,14,18
0,15,32
0,16,22
0,17,18
0,18,18
0,19,20
0,20,18
0,21,20
0,22,18
0,23,18
0,24,20
0,25,18
0,26,18
0,27,18
0,28,18
1,2,18
1,3,18
1,4,22
1,5,18
1,6,18
1,7,28
1,8,18
1,9,18
1,10,22
1,11,52
1,12,20
1,13,18
1,14,18
1,15,38
1,16,44
1,17,18
1,18,34
1,19,30
1,20,18
1,21,36
1,22,18
1,23,18
1,24,24
1,25,18
1,26,18
1,27,18
1,28,18
2,3,18
2,4,18
2,5,18
2,6,18
2,7,18
2,8,18
2,9,18
2,10,18
2,11,18
2,12,18
2,13,18
2,14,18
2,15,18
2,16,18
2,17,18
2,18,18
2,19,18
2,20,18
2,21,18
2,22,18
2,23,18
2,24,18
2,25,18
2,26,18
2,27,18
2,28,18
3,4,18
3,5,18
3,6,18
3,7,20
3,8,18
3,9,18
3,10,18
3,11,42
3,12,18
3,13,24
3,14,18
3,15,28
3,16,38
3,17,18
3,18,24
3,19,18
3,20,18
3,21,34
3,22,18
3,23,20
3,24,24
3,25,18
3,26,18
3,27,18
3,28,18
4,5,18
4,6,18
4,7,18
4,8,18
4,9,18
4,10,18
4,11,28
4,12,18
4,13,18
4,14,18
4,15,28
4,16,28
4,17,18
4,18,24
4,19,18
4,20,18
4,21,24
4,22,20
4,23,18
4,24,22
4,25,22
4,26,18
4,27,18
4,28,18
5,6,18
5,7,18
5,8,18
5,9,18
5,10,18
5,11,28
5,12,18
5,13,18
5,14,18
5,15,18
5,16,26
5,17,18
5,18,24
5,19,18
5,20,18
5,21,18
5,22,18
5,23,18
5,24,18
5,25,18
5,26,18
5,27,18
5,28,18
6,7,18
6,8,18
6,9,18
6,10,18
6,11,20
6,12,18
6,13,18
6,14,18
6,15,20
6,16,20
6,17,18
6,18,18
6,19,18
6,20,18
6,21,20
6,22,18
6,23,18
6,24,18
6,25,18
6,26,18
6,27,18
6,28,18
7,8,18
7,9,20
7,10,18
7,11,146
7,12,18
7,13,20
7,14,18
7,15,80
7,16,120
7,17,36
7,18,48
7,19,18
7,20,20
7,21,96
7,22,18
7,23,18
7,24,18
7,25,18
7,26,18
7,27,18
7,28,18
8,9,18
8,10,18
8,11,28
8,12,18
8,13,28
8,14,18
8,15,18
8,16,24
8,17,18
8,18,18
8,19,18
8,20,18
8,21,20
8,22,18
8,23,18
8,24,18
8,25,18
8,26,18
8,27,18
8,28,18
9,10,18
9,11,66
9,12,20
9,13,20
9,14,18
9,15,38
9,16,38
9,17,18
9,18,42
9,19,18
9,20,18
9,21,36
9,22,18
9,23,18
9,24,18
9,25,18
9,26,18
9,27,18
9,28,18
10,11,66
10,12,18
10,13,20
10,14,18
10,15,26
10,16,50
10,17,18
10,18,26
10,19,36
10,20,18
10,21,26
10,22,18
10,23,18
10,24,26
10,25,18
10,26,20
10,27,18
10,28,18
11,12,154
11,13,50
11,14,18
11,15,420
11,16,1462
11,17,98
11,18,306
11,19,82
11,20,20
11,21,760
11,22,20
11,23,22
11,24,42
11,25,28
11,26,28
11,27,18
11,28,20
12,13,22
12,14,18
12,15,38
12,16,114
12,17,18
12,18,20
12,19,24
12,20,18
12,21,38
12,22,18
12,23,18
12,24,18
12,25,18
12,26,18
12,27,18
12,28,18
13,14,18
13,15,24
13,16,38
13,17,18
13,18,22
13,19,20
13,20,18
13,21,34
13,22,18
13,23,20
13,24,24
13,25,18
13,26,18
13,27,18
13,28,18
14,15,18
14,16,18
14,17,18
14,18,18
14,19,18
14,20,18
14,21,18
14,22,18
14,23,18
14,24,18
14,25,18
14,26,18
14,27,18
14,28,18
15,16,320
15,17,32
15,18,140
15,19,26
15,20,18
15,21,232
15,22,20
15,23,20
15,24,26
15,25,22
15,26,20
15,27,18
15,28,18
16,17,72
16,18,256
16,19,68
16,20,18
16,21,662
16,22,20
16,23,20
16,24,30
16,25,24
16,26,22
16,27,18
16,28,20
17,18,46
17,19,18
17,20,18
17,21,58
17,22,18
17,23,18
17,24,18
17,25,18
17,26,18
17,27,18
17,28,18
18,19,36
18,20,18
18,21,162
18,22,20
18,23,20
18,24,26
18,25,18
18,26,20
18,27,18
18,28,18
19,20,18
19,21,30
19,22,18
19,23,18
19,24,30
19,25,18
19,26,20
19,27,18
19,28,18
20,21,18
20,22,18
20,23,18
20,24,18
20,25,18
20,26,18
20,27,18
20,28,18
21,22,20
21,23,20
21,24,34
21,25,18
21,26,20
21,27,18
21,28,18
22,23,18
22,24,18
22,25,18
22,26,18
22,27,18
22,28,18
23,24,20
23,25,18
23,26,18
23,27,18
23,28,18
24,25,18
24,26,20
24,27,18
24,28,18
25,26,18
25,27,18
25,28,18
26,27,18
26,28,18
27,28,18
29,31,4
29,32,4
29,33,4
29,35,4
29,38,4
29,39,4
11,29,6
29,42,4
29,43,4
29,45,4
29,47,4
29,50,4
29,51,4
29,55,4
31,32,4
31,33,4
31,35,4
31,38,4
31,39,6
11,31,6
31,42,4
31,43,4
31,45,4
31,47,4
31,48,4
31,50,4
31,51,6
31,55,4
