tag,date,count
conservation,2017-04-01,1975
conservation,2017-03-01,7888
conservation,2016-11-01,6
conservation,2017-02-01,698
conservation,2017-01-01,2928
everydayclimatechange,2017-04-01,24309
everydayclimatechange,2015-07-01,11
everydayclimatechange,2017-03-01,75977
everydayclimatechange,2017-02-01,362945
everydayclimatechange,2016-10-01,271
everydayclimatechange,2016-09-01,364
everydayclimatechange,2016-11-01,357
everydayclimatechange,2016-12-01,5213
everydayclimatechange,2016-08-01,41
everydayclimatechange,2017-01-01,301841
everydayclimatechange,2016-04-01,450
everydayclimatechange,2016-02-01,31
everydayclimatechange,2015-12-01,53
pollution,2017-04-01,3892
pollution,2017-03-01,3130
pollution,2016-12-01,99
pollution,2017-02-01,1590
pollution,2017-01-01,5053
environment,2017-04-01,1344
environment,2017-03-01,6584
environment,2016-10-01,5
environment,2017-02-01,11314
environment,2016-12-01,3748
environment,2017-01-01,13120
climatechange,2017-04-01,14669
climatechange,2017-03-01,45747
climatechange,2017-02-01,325315
climatechange,2016-10-01,147
climatechange,2016-11-01,211
climatechange,2016-12-01,4670
climatechange,2017-01-01,270463
climatechange,2016-02-01,31
climatechange,2016-09-01,28
climatechange,2015-07-01,7
climate,2017-04-01,1346
climate,2017-03-01,12656
climate,2017-02-01,3638
climate,2017-01-01,9156
climate,2016-11-01,53
climate,2016-12-01,31
globalwarming,2017-04-01,7981
globalwarming,2017-03-01,33606
globalwarming,2017-02-01,43331
globalwarming,2016-11-01,103
globalwarming,2016-12-01,4377
globalwarming,2017-01-01,256994
globalwarming,2016-02-01,31
everydayeverywhere,2017-04-01,7250
everydayeverywhere,2017-03-01,7892
everydayeverywhere,2017-02-01,10805
everydayeverywhere,2016-11-01,85
everydayeverywhere,2017-01-01,16214
everydayeverywhere,2016-02-01,31
instagram,2017-04-01,1446
instagram,2017-03-01,1627
instagram,2017-02-01,4618
instagram,2016-12-01,44
instagram,2017-01-01,3943
hikaricreative,2017-04-01,4122
hikaricreative,2017-03-01,5953
hikaricreative,2017-02-01,11753
hikaricreative,2017-01-01,19670
reportagespotlight,2017-04-01,9243
reportagespotlight,2017-03-01,13612
reportagespotlight,2017-02-01,8207
reportagespotlight,2017-01-01,12439
outofthephone,2017-04-01,1515
