source,target,weight
1491017339142777795_1561110271,11,1
1491017339142777795_1561110271,233,1
1491017339142777795_1561110271,21,1
1491017339142777795_1561110271,16,1
1491017339142777795_1561110271,112,1
1491017339142777795_1561110271,235,1
1490773616601913608_1682880966,100,1
1490773616601913608_1682880966,11,1
1490773616601913608_1682880966,250,1
1490773616601913608_1682880966,251,1
1490773616601913608_1682880966,252,1
1490773616601913608_1682880966,253,1
1490773616601913608_1682880966,254,1
1490773616601913608_1682880966,255,1
1490773616601913608_1682880966,256,1
1490773616601913608_1682880966,68,1
1490773616601913608_1682880966,53,1
1490431127654902975_1561110271,111,1
1490431127654902975_1561110271,272,1
1490431127654902975_1561110271,21,1
1490431127654902975_1561110271,273,1
1490431127654902975_1561110271,235,1
1490431127654902975_1561110271,11,1
1490431127654902975_1561110271,16,1
1490431127654902975_1561110271,274,1
1490274180523183740_348550915,166,1
1490274180523183740_348550915,164,1
1490274180523183740_348550915,87,1
1490274180523183740_348550915,275,1
1490274180523183740_348550915,53,1
1490274180523183740_348550915,162,1
1490274180523183740_348550915,276,1
1490274180523183740_348550915,11,1
1490274180523183740_348550915,277,1
1490274180523183740_348550915,278,1
1490274180523183740_348550915,279,1
1490274180523183740_348550915,280,1
1490274180523183740_348550915,281,1
1490274180523183740_348550915,282,1
1490274180523183740_348550915,283,1
1490274180523183740_348550915,173,1
1490274180523183740_348550915,176,1
1490274180523183740_348550915,284,1
1490274180523183740_348550915,285,1
1490274180523183740_348550915,286,1
1490274180523183740_348550915,131,1
1490274180523183740_348550915,287,1
1490274180523183740_348550915,288,1
1490274180523183740_348550915,289,1
1490274180523183740_348550915,290,1
1490274180523183740_348550915,127,1
1490274180523183740_348550915,291,1
1490274180523183740_348550915,177,1
1490274180523183740_348550915,292,1
1490274180523183740_348550915,178,1
1490271078835496132_348550915,166,1
1490271078835496132_348550915,164,1
1490271078835496132_348550915,87,1
1490271078835496132_348550915,275,1
1490271078835496132_348550915,53,1
1490271078835496132_348550915,162,1
1490271078835496132_348550915,276,1
1490271078835496132_348550915,11,1
1490271078835496132_348550915,277,1
1490271078835496132_348550915,278,1
1490271078835496132_348550915,279,1
1490271078835496132_348550915,280,1
1490271078835496132_348550915,281,1
1490271078835496132_348550915,282,1
1490271078835496132_348550915,283,1
1490271078835496132_348550915,173,1
1490271078835496132_348550915,176,1
1490271078835496132_348550915,284,1
1490271078835496132_348550915,285,1
1490271078835496132_348550915,286,1
1490271078835496132_348550915,131,1
1490271078835496132_348550915,287,1
1490271078835496132_348550915,288,1
1490271078835496132_348550915,289,1
1490271078835496132_348550915,290,1
1490271078835496132_348550915,127,1
1490271078835496132_348550915,291,1
1490271078835496132_348550915,177,1
1490271078835496132_348550915,292,1
1490271078835496132_348550915,178,1
1490268137252585999_348550915,166,1
1490268137252585999_348550915,164,1
1490268137252585999_348550915,87,1
1490268137252585999_348550915,275,1
1490268137252585999_348550915,53,1
1490268137252585999_348550915,162,1
1490268137252585999_348550915,276,1
1490268137252585999_348550915,11,1
1490268137252585999_348550915,277,1
1490268137252585999_348550915,278,1
1490268137252585999_348550915,279,1
1490268137252585999_348550915,280,1
1490268137252585999_348550915,281,1
1490268137252585999_348550915,282,1
1490268137252585999_348550915,283,1
1490268137252585999_348550915,173,1
1490268137252585999_348550915,176,1
1490268137252585999_348550915,284,1
1490268137252585999_348550915,285,1
1490268137252585999_348550915,286,1
1490268137252585999_348550915,131,1
1490268137252585999_348550915,287,1
1490268137252585999_348550915,288,1
1490268137252585999_348550915,289,1
1490268137252585999_348550915,290,1
1490268137252585999_348550915,127,1
1490268137252585999_348550915,291,1
1490268137252585999_348550915,177,1
1490268137252585999_348550915,292,1
1490268137252585999_348550915,178,1
1490264730068463892_348550915,166,1
1490264730068463892_348550915,164,1
1490264730068463892_348550915,87,1
1490264730068463892_348550915,275,1
1490264730068463892_348550915,53,1
1490264730068463892_348550915,162,1
1490264730068463892_348550915,276,1
1490264730068463892_348550915,11,1
1490264730068463892_348550915,277,1
1490264730068463892_348550915,278,1
1490264730068463892_348550915,279,1
1490264730068463892_348550915,280,1
1490264730068463892_348550915,281,1
1490264730068463892_348550915,282,1
1490264730068463892_348550915,283,1
1490264730068463892_348550915,173,1
1490264730068463892_348550915,176,1
1490264730068463892_348550915,284,1
1490264730068463892_348550915,285,1
1490264730068463892_348550915,286,1
1490264730068463892_348550915,131,1
1490264730068463892_348550915,287,1
1490264730068463892_348550915,288,1
1490264730068463892_348550915,289,1
1490264730068463892_348550915,290,1
1490264730068463892_348550915,127,1
1490264730068463892_348550915,291,1
1490264730068463892_348550915,177,1
1490264730068463892_348550915,292,1
1490264730068463892_348550915,178,1
1490259012669985916_348550915,166,1
1490259012669985916_348550915,164,1
1490259012669985916_348550915,87,1
1490259012669985916_348550915,275,1
1490259012669985916_348550915,53,1
1490259012669985916_348550915,162,1
1490259012669985916_348550915,276,1
1490259012669985916_348550915,11,1
1490259012669985916_348550915,277,1
1490259012669985916_348550915,278,1
1490259012669985916_348550915,279,1
1490259012669985916_348550915,280,1
1490259012669985916_348550915,281,1
1490259012669985916_348550915,282,1
1490259012669985916_348550915,283,1
1490259012669985916_348550915,173,1
1490259012669985916_348550915,176,1
1490259012669985916_348550915,284,1
1490259012669985916_348550915,285,1
1490259012669985916_348550915,286,1
1490259012669985916_348550915,131,1
1490259012669985916_348550915,287,1
1490259012669985916_348550915,288,1
1490259012669985916_348550915,289,1
1490259012669985916_348550915,290,1
1490259012669985916_348550915,127,1
1490259012669985916_348550915,291,1
1490259012669985916_348550915,177,1
1490259012669985916_348550915,292,1
1490259012669985916_348550915,178,1
1490256664396786415_348550915,166,1
1490256664396786415_348550915,164,1
1490256664396786415_348550915,87,1
1490256664396786415_348550915,275,1
1490256664396786415_348550915,53,1
1490256664396786415_348550915,162,1
1490256664396786415_348550915,276,1
1490256664396786415_348550915,11,1
1490256664396786415_348550915,277,1
1490256664396786415_348550915,278,1
1490256664396786415_348550915,279,1
1490256664396786415_348550915,280,1
1490256664396786415_348550915,281,1
1490256664396786415_348550915,282,1
1490256664396786415_348550915,283,1
1490256664396786415_348550915,173,1
1490256664396786415_348550915,176,1
1490256664396786415_348550915,284,1
1490256664396786415_348550915,285,1
1490256664396786415_348550915,286,1
1490256664396786415_348550915,131,1
1490256664396786415_348550915,287,1
1490256664396786415_348550915,288,1
1490256664396786415_348550915,289,1
1490256664396786415_348550915,290,1
1490256664396786415_348550915,127,1
1490256664396786415_348550915,291,1
1490256664396786415_348550915,177,1
1490256664396786415_348550915,292,1
1490256664396786415_348550915,178,1
1490254512039252177_348550915,166,1
1490254512039252177_348550915,164,1
1490254512039252177_348550915,87,1
1490254512039252177_348550915,275,1
1490254512039252177_348550915,53,1
1490254512039252177_348550915,162,1
1490254512039252177_348550915,276,1
1490254512039252177_348550915,11,1
1490254512039252177_348550915,277,1
1490254512039252177_348550915,278,1
1490254512039252177_348550915,279,1
1490254512039252177_348550915,280,1
1490254512039252177_348550915,281,1
1490254512039252177_348550915,282,1
